                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    134,                 2.0141,                 1.1739,                 1.1282,                0.55736,                0.50735,                0.52628,                0.19578,                 2.3121,                  1.493,                 1.2616,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.8899,                0.99786,                 1.0815,                0.49443,                0.58288,                0.55309,                 0.2358,                 2.0841,                 1.6782,                 1.2079,              0.0073468,              0.0073468,              0.0073468
                    136,                 2.2065,                 1.2151,                 1.1329,                0.43264,                0.43334,                0.44346,                0.15555,                 2.3885,                 1.5137,                 1.2764,               0.007327,               0.007327,               0.007327
                    137,                 2.0457,                 1.0677,                 1.0983,                0.45856,                0.45752,                0.48283,                0.19643,                 2.2295,                 1.6967,                 1.2812,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.7986,                 1.0566,                 1.0904,                0.43835,                0.35598,                0.39357,                 0.1346,                 2.4743,                 1.7412,                 1.4072,              0.0072874,              0.0072874,              0.0072874
                    139,                 2.6432,                 1.1865,                 1.1279,                0.45321,                0.23663,                 0.2725,                0.11336,                 2.4401,                 1.8001,                 1.3922,              0.0072676,              0.0072676,              0.0072676
                    140,                 2.0364,                 1.0566,                 1.1154,                 0.2935,                0.31205,                0.26378,                0.10737,                 2.4956,                 1.7187,                 1.4253,              0.0072478,              0.0072478,              0.0072478
                    141,                 2.6507,                 1.3658,                 1.1982,                0.49545,                  0.551,                0.51439,                0.19422,                 2.2178,                 1.2715,                 1.2032,               0.007228,               0.007228,               0.007228
                    142,                 1.8208,                 1.0628,                 1.0719,                0.38523,                 0.5135,                0.40584,                 0.1638,                  2.293,                 1.4342,                 1.2485,              0.0072082,              0.0072082,              0.0072082
                    143,                 1.9504,                 1.4534,                 1.0966,                0.33423,                0.47582,                0.34344,                0.13408,                  2.432,                   2.16,                 1.2982,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.8182,                 1.1907,                 1.1202,                  0.312,                0.44855,                0.31602,                0.12819,                  2.503,                 2.6565,                 1.4029,              0.0071686,              0.0071686,              0.0071686
                    145,                 2.2116,                 1.1503,                 1.1724,                0.28252,                0.39484,                0.28558,                0.10565,                 2.6947,                 2.2454,                 1.4316,              0.0071488,              0.0071488,              0.0071488
                    146,                 2.1717,                 1.0685,                  1.091,                0.29224,                0.34475,                0.28892,                0.09349,                  2.742,                 1.5937,                 1.3358,               0.007129,               0.007129,               0.007129
