                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    112,                 1.9558,                0.99438,                 1.0543,                0.57934,                0.51487,                0.55113,                0.23816,                 2.1736,                 1.2148,                 1.2193,              0.0056044,              0.0056044,              0.0056044
                    113,                  1.733,                0.87058,                 1.0173,                0.44183,                 0.4663,                0.43577,                0.16097,                 2.3602,                 1.4945,                 1.2648,              0.0055648,              0.0055648,              0.0055648
                    114,                 1.9417,                 1.0091,                 1.0441,                0.48915,                  0.474,                0.49092,                0.20668,                 2.2328,                 1.4133,                  1.274,              0.0055252,              0.0055252,              0.0055252
                    115,                 2.1844,                 1.1493,                 1.0909,                0.48917,                0.53783,                0.53112,                0.21652,                 2.2037,                 1.2704,                 1.2161,              0.0054856,              0.0054856,              0.0054856
                    116,                 2.0454,                 1.0979,                 1.0623,                0.64795,                 0.6673,                0.67216,                0.27584,                 2.0758,                 1.0573,                 1.1196,               0.005446,               0.005446,               0.005446
                    117,                 2.0491,                 1.0638,                 1.0581,                0.62921,                0.67914,                0.68011,                0.30857,                 1.9967,                 1.0837,                 1.1151,              0.0054064,              0.0054064,              0.0054064
                    118,                 1.9043,                 0.9992,                 1.0376,                0.60149,                0.55163,                0.56923,                0.19208,                 2.4014,                   1.16,                 1.1589,              0.0053668,              0.0053668,              0.0053668
                    119,                  2.274,                 1.2127,                  1.047,                0.62682,                0.56255,                 0.6129,                0.25072,                 2.1194,                 1.2231,                 1.1383,              0.0053272,              0.0053272,              0.0053272
                    120,                 1.7747,                0.99317,                 1.0261,                0.55128,                0.58542,                0.58978,                0.21917,                 2.2376,                 1.2012,                 1.1817,              0.0052876,              0.0052876,              0.0052876
                    121,                 1.6682,                0.90141,                 1.0104,                0.48754,                0.55842,                0.54232,                0.22482,                 2.1666,                 1.3022,                 1.2265,               0.005248,               0.005248,               0.005248
                    122,                 1.5442,                0.87138,                 1.0316,                0.55272,                0.58524,                0.58612,                0.23358,                 2.1999,                 1.2017,                 1.1919,              0.0052084,              0.0052084,              0.0052084
                    123,                 1.5721,                0.87025,                 1.0156,                0.51355,                0.56653,                0.54746,                0.23022,                  2.162,                 1.2767,                  1.185,              0.0051688,              0.0051688,              0.0051688
                    124,                 1.8853,                 1.0625,                 1.0254,                0.52302,                 0.5654,                0.55085,                0.21553,                 2.1824,                 1.3535,                 1.1479,              0.0051292,              0.0051292,              0.0051292
                    125,                 1.9897,                 1.0457,                 1.0392,                0.67025,                 0.6202,                0.67083,                0.29615,                 1.9488,                 1.1106,                 1.1019,              0.0050896,              0.0050896,              0.0050896
                    126,                 1.8877,                  1.076,                 1.0761,                0.49774,                0.67047,                 0.6025,                0.20939,                 2.2687,                 1.1369,                 1.1358,                0.00505,                0.00505,                0.00505
                    127,                 1.9443,                0.98635,                 1.0277,                0.58182,                0.73868,                  0.723,                0.32923,                 1.8947,                 1.0358,                 1.0906,              0.0050104,              0.0050104,              0.0050104
                    128,                  1.813,                 1.0192,                 1.0522,                0.66935,                0.68125,                0.72441,                0.29489,                  1.987,                0.99667,                 1.1029,              0.0049708,              0.0049708,              0.0049708
